Date,1,2,3,4,5,6-10,11-20,21+
2/1/2016,4197,1607,817,607,344,837,363,101
2/2/2016,4299,1603,806,598,360,821,357,95
2/3/2016,4346,1608,827,587,367,837,351,97
2/4/2016,4350,1620,824,592,370,833,355,94
2/5/2016,4349,1619,828,594,370,830,356,93
2/6/2016,4349,1617,828,594,370,832,356,92
2/7/2016,4349,1612,828,591,374,832,354,91
2/8/2016,3503,1257,678,503,263,520,205,65
2/9/2016,3060,1129,603,414,204,421,164,62
2/10/2016,2984,1122,563,405,196,381,154,54
2/11/2016,3124,1029,513,330,175,287,116,49
2/12/2016,2902,939,469,302,151,276,111,44
2/13/2016,2792,931,463,302,150,274,107,43
2/14/2016,2770,923,464,306,151,278,105,44
2/15/2016,2773,920,463,305,157,277,110,39
2/16/2016,2968,966,485,313,162,293,115,40
2/17/2016,3328,1104,529,336,183,299,119,41
2/18/2016,3505,1160,548,341,187,294,123,42
2/19/2016,3488,1149,544,352,172,289,129,39
2/20/2016,3322,1110,537,326,157,280,119,39
2/21/2016,3346,1106,534,321,157,280,120,41
2/22/2016,3350,1107,539,321,158,280,114,42
2/23/2016,4696,1679,845,452,233,408,143,49
2/24/2016,5101,1856,931,483,259,447,150,49
2/25/2016,5225,1912,960,494,274,463,175,56
2/26/2016,5285,1946,967,508,279,473,178,58
2/27/2016,5257,1936,967,506,283,473,178,57
2/28/2016,5224,1926,967,506,286,472,177,57
2/1/2017,54615,8744,4232,2788,1974,4267,1822,763
2/2/2017,62122,11547,4848,2959,2109,4617,1948,774
2/3/2017,61935,11577,4872,3043,2053,4619,1940,726
2/4/2017,64319,12082,5118,3041,2152,4807,2041,789
2/5/2017,56326,12651,5380,3212,2196,5083,2182,840
2/6/2017,48732,13240,5695,3360,2276,5254,2314,888
2/7/2017,49151,13487,5844,3393,2303,5272,2346,927
2/8/2017,49154,13486,5851,3384,2307,5272,2352,964
2/9/2017,49151,13487,5845,3391,2288,5278,2364,934
2/10/2017,49113,13460,5816,3396,2269,5261,2349,945
2/11/2017,49253,13502,5813,3393,2275,5271,2388,990
2/12/2017,49596,13649,5818,3433,2249,5294,2492,1038
2/13/2017,49786,13703,5812,3466,2236,5310,2563,1110
2/14/2017,49821,13712,5791,3462,2248,5319,2619,1158
2/15/2017,49831,13712,5790,3465,2236,5314,2658,1172
2/16/2017,49674,13618,5794,3436,2225,5305,2639,1109
2/17/2017,49427,13614,5778,3435,2205,5238,2555,1030
2/18/2017,49583,13503,5591,3222,1969,4518,2052,921
2/19/2017,48856,12874,5225,2859,1746,3719,1613,774
2/20/2017,47977,12692,4981,2659,1615,3243,1347,651
2/21/2017,47678,12619,4963,2659,1611,3224,1317,603
2/22/2017,48444,12672,4990,2695,1649,3233,1309,599
2/23/2017,49224,12751,5028,2694,1663,3303,1332,596
2/24/2017,49709,12799,5056,2740,1657,3329,1350,586
2/25/2017,49628,12729,4912,2640,1570,3086,1218,555
2/26/2017,49601,12429,4696,2469,1459,2782,1122,488
2/27/2017,49407,12026,4528,2324,1303,2540,1053,513
2/28/2017,47226,11323,4163,2102,1196,2392,1018,487
