Date,1,2,3,4,5,6-10,11-20,21+
2/1/2016,4952,1842,918,589,428,861,379,116
2/2/2016,4893,1762,870,559,432,828,369,110
2/3/2016,4861,1739,875,542,440,839,365,110
2/4/2016,4832,1737,867,542,445,834,366,109
2/5/2016,4814,1733,870,540,447,832,366,108
2/6/2016,4792,1732,866,539,445,833,368,106
2/7/2016,4784,1717,866,538,444,834,366,105
2/8/2016,4723,1570,795,464,353,535,218,82
2/9/2016,4374,1464,739,379,297,437,187,76
2/10/2016,4279,1453,695,367,289,397,179,67
2/11/2016,4409,1356,648,293,269,305,142,60
2/12/2016,4109,1261,600,269,243,294,138,55
2/13/2016,4004,1259,602,266,242,293,131,54
2/14/2016,3977,1257,602,267,244,296,132,54
2/15/2016,3981,1258,604,267,252,295,133,51
2/16/2016,4190,1304,629,277,256,307,142,51
2/17/2016,4545,1442,674,295,280,317,140,53
2/18/2016,4706,1497,687,300,282,316,140,54
2/19/2016,4668,1483,681,311,263,312,144,53
2/20/2016,4496,1441,670,288,249,303,130,54
2/21/2016,4513,1431,665,282,248,304,129,57
2/22/2016,4525,1434,669,283,248,308,123,56
2/23/2016,5868,2004,976,421,316,437,150,64
2/24/2016,6257,2181,1061,456,340,477,156,64
2/25/2016,6370,2242,1087,474,349,493,180,72
2/26/2016,6430,2279,1093,491,351,502,183,73
2/27/2016,6625,2346,1124,513,361,512,188,69
2/28/2016,6623,2357,1139,518,362,513,189,69
2/1/2017,90387,18508,7893,4406,2819,5860,2568,953
2/2/2017,97340,21308,8608,4669,2988,6167,2706,992
2/3/2017,97215,21381,8672,4741,2943,6188,2705,941
2/4/2017,99516,21962,8997,4821,3048,6408,2807,1020
2/5/2017,91339,22717,9420,5039,3136,6728,2970,1073
2/6/2017,83756,23349,9836,5221,3217,6944,3098,1126
2/7/2017,84298,23620,10004,5271,3254,6975,3138,1164
2/8/2017,84362,23646,10013,5264,3253,6984,3142,1199
2/9/2017,84499,23679,10021,5271,3239,6996,3148,1174
2/10/2017,84526,23658,10017,5273,3224,6986,3133,1181
2/11/2017,84673,23722,10016,5274,3227,7008,3154,1233
2/12/2017,85063,23890,10044,5320,3211,7013,3256,1289
2/13/2017,85386,23998,10071,5352,3219,7024,3329,1360
2/14/2017,85481,24012,10052,5369,3210,7039,3384,1416
2/15/2017,85526,24029,10043,5371,3208,7035,3419,1431
2/16/2017,85444,23974,10038,5338,3207,7021,3404,1365
2/17/2017,84955,23919,10003,5345,3181,6959,3305,1277
2/18/2017,83308,23318,9610,5054,2951,6105,2656,1103
2/19/2017,78362,21506,8699,4450,2564,5030,2025,901
2/20/2017,72954,19614,7765,3836,2254,4220,1598,738
2/21/2017,68205,18061,7057,3564,2111,3931,1462,666
2/22/2017,67582,17747,6959,3555,2094,3894,1445,656
2/23/2017,68136,17820,6959,3552,2107,3962,1482,645
2/24/2017,68131,17761,6941,3583,2076,3977,1504,632
2/25/2017,64821,16656,6385,3349,1948,3654,1357,590
2/26/2017,61654,15208,5759,3044,1787,3176,1204,522
2/27/2017,56028,13738,5269,2706,1567,2783,1126,533
2/28/2017,51208,12556,4725,2384,1366,2578,1075,503
