Date,API,,On Your Page,Page Suggestions,Posts to Page,Search,Uncategorized Desktop,Uncategorized Mobile,Your Posts
2/1/16,,,2,,,,1,,
2/2/16,,,2,,,,4,,
2/3/16,,,3,,,,,,
2/4/16,,,3,,,1,2,,
2/5/16,,,2,,,,,,
2/6/16,,,2,1,1,,,,
2/7/16,,,,1,1,2,1,,
2/8/16,,,3,,1,,3,,
2/9/16,,,2,,,1,1,,
2/10/16,,,1,,,1,3,,
2/11/16,,,2,1,,,4,1,
2/12/16,,,2,1,,,3,,
2/13/16,,,,1,,1,3,,
2/14/16,,,5,1,,,2,,
2/15/16,,,5,,,,1,1,
2/16/16,,,4,,,,2,1,
2/17/16,,,6,,1,,1,,
2/18/16,,,2,1,,3,2,,
2/19/16,,,2,,,,3,,
2/20/16,,,3,1,,,1,,
2/21/16,,,3,2,,,1,,
2/22/16,,,2,,,1,2,,
2/23/16,,,6,1,,1,2,,
2/24/16,,,3,2,1,2,5,,
2/25/16,,,3,1,,,4,,
2/26/16,,,3,1,,,4,,
2/27/16,,,,,,,,,
2/28/16,,,3,1,1,1,2,,
2/1/17,,1,37,1,,1,2,1,5
2/2/17,,,25,,,1,1,1,1
2/3/17,,8,9,,,3,5,,
2/4/17,,34,19,,,1,14,,
2/5/17,,28,14,1,,,14,,
2/6/17,,21,16,,,,14,,
2/7/17,,6,4,1,,,8,,
2/8/17,,,9,,,,2,,
2/9/17,,,11,,,,3,1,
2/10/17,,,3,1,,,1,1,
2/11/17,1,,5,1,,1,1,,
2/12/17,,5,7,1,,,,,
2/13/17,,10,6,,,,9,,
2/14/17,,,3,,,1,2,,
2/15/17,,,5,1,,1,2,,
2/16/17,,,5,,,2,1,,1
2/17/17,,,2,,,,,,
2/18/17,,,,,,,,1,
2/19/17,,,2,,,1,1,,
2/20/17,,,5,,,1,,1,
2/21/17,,,4,,,,1,,
2/22/17,,1,2,,,,2,,
2/23/17,,,3,,,1,2,,
2/24/17,,1,5,,,1,,,
2/25/17,,,3,,,,,,1
2/26/17,,,3,1,,,,,
2/27/17,,,,,,1,,,
2/28/17,,,2,,1,1,2,,
