Date,checkin,coupon,event,fan,mention,other,page post,question,user post
2/1/2016,0,0,0,5,0,11,6,0,0
2/2/2016,0,0,0,7,0,3,0,0,0
2/3/2016,0,0,0,3,1,15,3,0,0
2/4/2016,0,0,0,6,0,1,0,0,0
2/5/2016,0,0,0,2,0,0,0,0,0
2/6/2016,0,0,0,4,0,0,0,0,0
2/7/2016,0,0,0,5,0,0,0,0,0
2/8/2016,1,0,0,8,0,6,2,0,0
2/9/2016,0,0,0,5,0,1,1,0,0
2/10/2016,0,0,0,6,0,2,1,0,0
2/11/2016,0,0,0,7,0,50,6,0,0
2/12/2016,0,0,0,8,0,12,0,0,0
2/13/2016,0,0,0,5,0,4,0,0,0
2/14/2016,0,0,0,9,0,0,0,0,0
2/15/2016,0,0,0,10,0,1,1,0,0
2/16/2016,0,0,0,7,0,14,4,0,0
2/17/2016,0,0,0,9,0,28,3,0,0
2/18/2016,0,0,0,9,0,5,2,0,0
2/19/2016,0,0,0,6,1,14,2,0,0
2/20/2016,0,0,0,6,0,5,0,0,0
2/21/2016,0,0,0,6,0,0,1,0,0
2/22/2016,0,0,0,5,0,2,0,0,0
2/23/2016,0,0,0,10,1,51,12,0,0
2/24/2016,0,0,0,14,0,12,4,0,0
2/25/2016,0,0,0,9,0,10,3,0,0
2/26/2016,0,0,0,9,0,4,0,0,0
2/27/2016,2,0,0,0,0,2,0,0,0
2/28/2016,0,0,0,9,0,4,0,0,0
2/1/2017,0,0,0,51,0,184,27,0,0
2/2/2017,0,0,0,30,0,172,15,0,0
2/3/2017,0,0,0,26,0,77,5,0,0
2/4/2017,0,0,0,68,0,179,10,0,0
2/5/2017,0,0,0,63,0,143,5,0,0
2/6/2017,0,0,0,50,1,100,4,0,0
2/7/2017,0,0,0,20,0,28,7,0,0
2/8/2017,0,0,0,13,1,8,4,0,0
2/9/2017,0,0,0,16,1,10,6,0,0
2/10/2017,0,0,0,7,0,28,5,0,0
2/11/2017,0,0,0,9,0,93,5,0,0
2/12/2017,0,0,0,14,0,124,9,0,0
2/13/2017,0,0,0,31,0,54,7,0,0
2/14/2017,0,0,0,9,2,18,6,0,0
2/15/2017,0,0,0,9,0,12,3,0,0
2/16/2017,0,0,0,10,0,1,3,0,0
2/17/2017,0,0,0,3,0,1,2,0,0
2/18/2017,0,0,0,1,0,1,2,0,1
2/19/2017,0,0,0,6,0,2,3,0,0
2/20/2017,0,0,0,8,0,1,1,0,0
2/21/2017,0,0,0,9,0,1,3,0,0
2/22/2017,0,0,0,8,0,5,2,0,0
2/23/2017,0,0,0,8,2,14,4,0,0
2/24/2017,0,0,0,7,0,2,2,0,0
2/25/2017,0,0,0,5,0,1,3,0,0
2/26/2017,0,0,0,6,0,0,3,0,0
2/27/2017,0,0,0,4,0,69,4,0,0
2/28/2017,0,0,0,7,0,23,4,0,0
