Date,1,2,3,4,5,6-10,11-20,21+
2/1/2016,460,126,52,18,15,12,6,3
2/2/2016,221,48,18,10,11,10,4,3
2/3/2016,230,79,48,7,12,16,5,3
2/4/2016,67,7,8,1,8,7,6,3
2/5/2016,22,6,9,,5,3,,2
2/6/2016,29,6,3,,2,3,4,1
2/7/2016,28,4,2,,1,4,,1
2/8/2016,864,232,94,25,23,19,7,3
2/9/2016,405,95,46,17,15,17,5,4
2/10/2016,101,23,12,7,10,2,4,4
2/11/2016,829,284,106,43,31,30,5,3
2/12/2016,454,87,18,16,5,7,3,4
2/13/2016,92,18,9,4,2,3,1,2
2/14/2016,37,7,6,3,3,2,3,2
2/15/2016,41,14,5,1,6,4,5,4
2/16/2016,264,65,29,17,8,16,8,4
2/17/2016,509,160,58,32,28,16,8,3
2/18/2016,320,63,21,9,6,6,3,3
2/19/2016,617,181,79,24,21,23,3,2
2/20/2016,225,46,17,2,6,5,1,1
2/21/2016,80,14,5,1,3,3,3,2
2/22/2016,36,10,7,1,4,4,1,1
2/23/2016,1733,684,334,149,70,98,18,6
2/24/2016,859,207,65,27,15,23,3,1
2/25/2016,325,136,49,30,8,32,8,3
2/26/2016,181,52,15,13,2,11,1,2
2/27/2016,271,89,35,22,9,14,3,2
2/28/2016,116,33,7,2,5,8,1,2
2/1/2017,20078,3340,843,336,154,256,60,13
2/2/2017,18141,1670,378,236,102,162,31,2
2/3/2017,5187,680,184,100,28,57,8,1
2/4/2017,11436,1361,338,111,60,45,6,1
2/5/2017,13362,1122,174,62,26,31,5,
2/6/2017,10865,832,129,34,12,5,,
2/7/2017,3660,289,78,58,23,21,5,
2/8/2017,800,277,92,37,21,26,5,2
2/9/2017,393,73,27,11,5,9,1,
2/10/2017,612,255,103,53,29,45,7,
2/11/2017,1630,327,111,66,24,29,2,
2/12/2017,2441,608,116,34,10,12,2,
2/13/2017,2663,501,160,50,25,37,4,1
2/14/2017,1418,406,162,81,29,31,4,
2/15/2017,593,121,43,20,7,13,,
2/16/2017,188,36,8,7,2,2,1,
2/17/2017,129,32,7,7,2,3,,
2/18/2017,79,19,4,1,1,,1,
2/19/2017,81,13,3,,,3,,
2/20/2017,82,14,4,5,2,2,,
2/21/2017,60,10,1,2,1,1,,
2/22/2017,1913,114,20,12,6,5,,
2/23/2017,2206,293,96,57,26,23,3,1
2/24/2017,1546,96,23,4,2,7,1,1
2/25/2017,103,19,5,2,2,,1,
2/26/2017,62,11,7,4,3,2,,
2/27/2017,1228,317,86,49,23,28,1,
2/28/2017,738,313,135,92,47,73,6,1
