Date,Lifetime Total Likes,Daily New Likes,Daily Unlikes,Daily Page Engaged Users,Weekly Page Engaged Users,28 Days Page Engaged Users,Daily Total Reach,Weekly Total Reach,28 Days Total Reach,Daily Organic Reach,Weekly Organic Reach,28 Days Organic Reach,Daily Paid Reach,Weekly Paid Reach,28 Days Paid Reach,Daily Total Impressions,Weekly Total Impressions,28 Days Total Impressions,Daily Organic impressions,Weekly Organic impressions,28 Days Organic impressions,Daily Paid Impressions,Weekly Paid Impressions,28 Days Paid Impressions,Daily Logged-in Page Views,Weekly Logged-in Page Views,Daily Logged-in Page Views,Weekly Logged-in Page Views,Daily Reach of page posts,Weekly Reach of page posts,28 Days Reach of page posts,Daily Organic Reach of Page posts,Weekly Organic Reach of Page posts,28 Days Organic Reach of Page posts,Daily Paid Reach of Page posts,Weekly Paid Reach of Page posts,28 Days Paid Reach of Page posts,Daily Total Impressions of your posts,Weekly Total Impressions of your posts,28 Days Total Impressions of your posts,Daily Organic impressions of your posts,Weekly Organic impressions of your posts,28 Days Organic impressions of your posts,Daily Paid impressions of your posts,Weekly Paid impressions of your posts,28 Days Paid impressions of your posts,Daily Total Consumers,Weekly Total Consumers,28 Days Total Consumers,Daily Page consumptions,Weekly Page consumptions,28 Days Page consumptions,Daily Negative feedback,Weekly Negative feedback,28 Days Negative feedback,Daily Negative Feedback from Users,Weekly Negative Feedback from Users,28 Days Negative Feedback from Users,Daily Total check-ins,Weekly Total check-ins,28 Days Total check-ins,Daily Total check-ins,Weekly Total check-ins,28 Days Total check-ins,Daily Total check-ins using mobile devices,Weekly Total check-ins using mobile devices,28 Days Total check-ins using mobile devices,Daily Total check-ins using mobile devices,Weekly Total check-ins using mobile devices,28 Days Total check-ins using mobile devices,Daily Daily count of fans online,Daily Total organic video views,Weekly Total organic video views,28 Days Total organic video views,Daily Total promoted video views,Weekly Total promoted video views,28 Days Total promoted video views,Daily Total organic video views for 30s or to the end,Weekly Total organic video views for 30s or to the end,28 Days Total organic video views for 30s or to the end,Daily Paid 30-Second Views,Weekly Paid 30-Second Views,28 Days Paid 30-Second Views,Daily Total Video Views,Weekly Total Video Views,28 Days Total Video Views,Daily Total autoplayed video views,Weekly Total autoplayed video views,28 Days Total autoplayed video views,Daily Total video views after clicking,Weekly Total video views after clicking,28 Days Total video views after clicking,Daily Total number of time a video has seen again,Weekly Total number of time a video has seen again,28 Days Total number of time a video has seen again,Daily Total Unique Video Views,Weekly Total Unique Video Views,28 Days Total Unique Video Views,Daily Total 30-Second Views,Weekly Total 30-Second Views,28 Days Total 30-Second Views,Daily Auto-Played 30-Second Views,Weekly Auto-Played 30-Second Views,28 Days Auto-Played 30-Second Views,Daily Video views for 30s or to the end after clicking,Weekly Video views for 30s or to the end after clicking,28 Days Video views for 30s or to the end after clicking,Daily Number of time a video has seen again for 30s or to the end,Weekly Number of time a video has seen again for 30s or to the end,28 Days Number of time a video has seen again for 30s or to the end,Daily Total Unique 30-Second Views,Weekly Total Unique 30-Second Views,28 Days Total Unique 30-Second Views,Daily People Talking About This,Weekly People Talking About This,28 Days People Talking About This,page_get_directions_clicks_logged_in_count:day,page_get_directions_clicks_logged_in_count:week,page_get_directions_clicks_logged_in_unique:day,page_get_directions_clicks_logged_in_unique:week,page_call_phone_clicks_logged_in_count:day,page_call_phone_clicks_logged_in_count:week,page_call_phone_clicks_logged_in_unique:day,page_call_phone_clicks_logged_in_unique:week,page_website_clicks_logged_in_count:day,page_website_clicks_logged_in_count:week,page_website_clicks_logged_in_unique:day,page_website_clicks_logged_in_unique:week,page_cta_clicks_logged_in_total:day,page_cta_clicks_logged_in_total:week,page_cta_clicks_logged_in_unique:day,page_cta_clicks_logged_in_unique:week
2/1/16,14061,5,4,33,88,943,689,1041,10094,689,1041,10094,0,0,0,1309,3006,35569,1309,3006,35569,0,0,0,28,94,12,59,681,940,8872,681,940,8872,0,0,0,1272,2735,32636,1272,2735,32636,0,0,0,15,34,589,139,252,1643,1,1,9,1,1,13,0,0,1,0,0,1,0,0,0,0,0,0,12274,0,0,0,0,,,0,0,0,0,,,0,,,0,,,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,0,0,0,,,22,61,450,,,,,,,,,,,,,,,,
2/2/16,14066,7,1,12,86,909,329,1261,9870,329,1261,9870,0,0,0,640,3541,34260,640,3541,34260,0,0,0,16,94,8,54,323,1171,8958,323,1171,8958,0,0,0,613,3289,32106,613,3289,32106,0,0,0,2,35,561,44,289,1632,0,1,9,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,12244,0,0,0,0,,,0,0,0,0,,,0,,,0,,,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,0,0,0,,,9,57,439,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2/3/16,14067,3,2,33,104,907,398,1532,9819,398,1532,9819,0,0,0,968,4313,34482,968,4313,34482,0,0,0,37,124,12,58,393,1466,9043,393,1466,9043,0,0,0,906,4044,32557,906,4044,32557,0,0,0,15,44,557,20,280,1556,0,1,9,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,12176,0,0,0,0,,,0,0,0,0,,,0,,,0,,,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,0,0,0,,,20,67,441,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2/4/16,14069,6,3,11,107,908,107,1567,9781,107,1567,9781,0,0,0,353,4557,34332,353,4557,34332,0,0,0,24,134,14,63,97,1507,9060,97,1507,9060,0,0,0,309,4277,32505,309,4277,32505,0,0,0,4,45,557,22,256,1550,0,1,9,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,12208,2,0,0,0,,,2,0,0,0,,,2,,,2,,,0,0,0,1,0,0,1,,,2,,,2,,,0,0,0,1,0,0,1,,,7,69,441,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0
2/5/16,14067,2,3,6,99,904,47,1580,9757,47,1580,9757,0,0,0,131,4617,34222,131,4617,34222,0,0,0,6,130,6,61,44,1530,9062,44,1530,9062,0,0,0,121,4372,32436,121,4372,32436,0,0,0,4,47,557,44,293,1403,0,1,9,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,12250,0,0,0,0,,,0,0,0,0,,,0,,,0,,,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,0,0,0,,,2,59,434,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
2/6/16,14067,4,3,5,98,894,48,1536,9723,48,1536,9723,0,0,0,134,4526,34167,134,4526,34167,0,0,0,6,128,4,58,44,1498,9059,44,1498,9059,0,0,0,123,4314,32429,123,4314,32429,0,0,0,2,46,552,15,300,1379,0,1,9,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,11998,0,0,0,0,,,0,0,0,0,,,0,,,0,,,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,0,0,0,,,4,60,429,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
2/7/16,14070,5,2,8,102,889,37,1485,9692,37,1485,9692,0,0,0,82,4436,34122,82,4436,34122,0,0,0,4,121,3,52,27,1445,9052,27,1445,9052,0,0,0,64,4227,32425,64,4227,32425,0,0,0,3,46,551,8,300,1370,0,1,9,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,12168,0,0,0,0,,,0,0,0,0,,,0,,,0,,,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,0,0,0,,,5,64,423,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
2/8/16,14078,8,1,34,104,739,1275,2127,8773,1275,2127,8773,0,0,0,2200,5332,27784,2200,5332,27784,0,0,0,27,120,11,52,119,945,6994,119,945,6994,0,0,0,366,3325,24333,366,3325,24333,0,0,0,17,47,423,37,200,1189,0,0,8,0,0,10,1,1,1,1,1,1,0,0,0,0,0,0,12224,0,0,0,0,,,0,0,0,0,,,0,,,0,,,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,0,0,0,,,16,60,377,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
2/9/16,14082,5,0,15,109,675,589,2322,7953,589,2322,7953,0,0,0,1164,5821,25082,1164,5821,25082,0,0,0,11,115,8,52,360,959,6057,360,959,6057,0,0,0,722,3399,21309,722,3399,21309,0,0,0,8,54,374,18,171,1116,0,0,6,0,0,7,0,1,1,0,1,1,0,0,0,0,0,0,12212,1,0,0,0,,,1,0,0,0,,,1,,,0,,,1,0,0,0,0,0,1,,,1,,,0,,,1,0,0,0,0,0,1,,,7,58,359,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
2/10/16,14087,6,1,11,87,653,158,2102,7726,158,2102,7726,0,0,0,430,5308,23995,430,5308,23995,0,0,0,14,92,6,47,136,732,5859,136,732,5859,0,0,0,363,2881,20272,363,2881,20272,0,0,0,2,41,355,5,155,1085,0,0,6,0,0,7,0,1,1,0,1,1,0,0,0,0,0,0,12226,0,0,0,0,,,0,0,0,0,,,0,,,0,,,0,0,0,0,0,0,0,,,0,,,0,,,0,0,0,0,0,0,0,,,9,47,352,0,0,0,0,0,0,0,0,1,3,1,3,0,0,0,0
