Date,1,2,3,4,5,6-10,11-20,21+
2/1/2016,645,184,71,48,33,34,19,7
2/2/2016,796,212,89,49,44,42,21,8
2/3/2016,938,263,131,58,52,56,24,10
2/4/2016,954,262,137,60,54,58,30,12
2/5/2016,960,270,141,55,55,56,30,13
2/6/2016,932,262,138,51,55,57,31,10
2/7/2016,901,253,134,48,52,58,29,10
2/8/2016,1380,366,174,46,57,64,29,11
2/9/2016,1474,407,208,47,64,77,33,12
2/10/2016,1362,350,167,46,67,67,34,9
2/11/2016,2062,609,268,89,95,89,36,8
2/12/2016,2315,696,296,103,103,104,38,9
2/13/2016,2342,708,310,110,103,104,35,10
2/14/2016,2343,714,311,115,105,101,39,11
2/15/2016,1595,508,221,94,88,82,32,12
2/16/2016,1506,478,209,91,74,78,32,15
2/17/2016,1848,620,254,120,96,84,39,15
2/18/2016,1438,426,160,87,66,55,35,14
2/19/2016,1576,498,216,97,79,78,33,15
2/20/2016,1633,527,222,101,85,80,37,14
2/21/2016,1665,531,221,101,83,83,37,14
2/22/2016,1667,534,224,103,84,81,30,13
2/23/2016,2960,1108,528,246,147,192,43,14
2/24/2016,3103,1148,556,252,141,206,40,13
2/25/2016,2954,1181,570,267,156,235,55,15
2/26/2016,2708,1098,516,250,129,210,45,14
2/27/2016,2837,1153,519,265,131,219,45,14
2/28/2016,2831,1165,533,271,133,224,45,12
2/1/2017,41551,9695,3607,1850,1064,1913,460,85
2/2/2017,48732,12759,4610,2242,1279,2256,558,113
2/3/2017,49319,13051,4898,2486,1329,2410,633,126
2/4/2017,50532,13036,4920,2512,1409,2324,658,135
2/5/2017,52585,13015,4729,2525,1314,2139,627,126
2/6/2017,50280,12297,4437,2191,1287,2220,647,115
2/7/2017,45148,11087,4080,2010,1247,2126,565,91
2/8/2017,37263,7778,2964,1569,883,1368,321,27
2/9/2017,25939,6069,2353,1238,627,928,166,13
2/10/2017,24879,5588,2105,974,507,695,163,14
2/11/2017,21478,4067,1277,566,294,533,143,13
2/12/2017,15086,2555,870,413,249,424,133,10
2/13/2017,7205,1811,788,433,262,481,159,24
2/14/2017,4974,1827,810,474,264,541,163,17
2/15/2017,5017,1867,836,487,279,468,118,15
2/16/2017,4961,1857,829,473,289,451,107,13
2/17/2017,4908,1881,811,459,255,336,62,7
2/18/2017,4735,1663,715,355,177,203,38,3
2/19/2017,3946,1074,445,236,105,136,32,3
2/20/2017,2144,660,258,130,55,64,16,1
2/21/2017,1058,256,86,38,20,26,6,
2/22/2017,2414,240,54,37,17,14,6,1
2/23/2017,3828,639,168,98,51,50,9,4
2/24/2017,4561,792,267,111,56,72,15,4
2/25/2017,4561,802,267,109,59,74,16,3
2/26/2017,4543,799,266,113,62,75,16,3
2/27/2017,5166,1030,373,169,102,132,31,4
2/28/2017,5280,1061,457,257,167,256,78,9
