Type,Posted,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Negative feedback,Lifetime Negative Feedback from Users,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic watches at 95%,Lifetime Organic watches at 95%,Lifetime Paid watches at 95%,Lifetime Paid watches at 95%,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Average time video viewed,Lifetime Video length
Link,2/28/17 2:30 PM,939,939,0,1646,1646,0,13,8,8,0,0,1576,901,0,0,13,0,0,0,0,0,0,0,0,0,0
Photo,2/28/17 12:02 PM,854,854,0,1397,1397,0,41,23,34,0,0,1152,679,0,0,36,,,,,,,,,0,0
Photo,2/27/17 9:17 AM,2063,2063,0,3140,3140,0,97,46,54,1,1,2106,1358,0,0,74,,,,,,,,,0,0
Status,2/23/17 11:12 AM,9,9,0,16,16,0,2,2,2,0,0,16,9,0,0,2,,,,,,,,,0,0
Status,2/23/17 11:07 AM,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,,,0,0
Link,2/22/17 9:55 AM,158,158,0,248,248,0,10,4,7,0,0,235,149,0,0,10,0,0,0,0,0,0,0,0,0,0
Status,2/14/17 6:29 PM,14,14,0,24,24,0,0,0,0,0,0,24,14,0,0,0,,,,,,,,,0,0
Photo,2/13/17 4:16 PM,1416,1416,0,2437,2437,0,41,34,48,2,2,2224,1290,0,0,36,,,,,,,,,0,0
Video,2/10/17 5:22 PM,1110,1110,0,1839,1839,0,36,28,40,2,2,1576,958,0,0,29,136,125,16,16,283,259,25,24,0,8000
Photo,2/10/17 4:00 PM,5879,2456,3423,9680,4025,5655,378,132,210,2,3,4303,2240,2116,1134,223,,,,,,,,,0,0
Link,2/8/17 9:40 AM,1178,1178,0,1922,1922,0,19,13,15,1,1,1825,1112,0,0,19,0,0,0,0,0,0,0,0,0,0
Link,2/7/17 11:23 AM,915,915,0,1530,1530,0,17,10,11,0,0,1478,872,0,0,16,0,0,0,0,0,0,0,0,0,0
Link,2/3/17 5:06 PM,7609,2875,4734,11967,5081,6886,344,96,129,1,1,8378,5146,5956,3920,300,0,0,0,0,0,0,0,0,0,0
Link,2/1/17 5:33 PM,849,849,0,1470,1470,0,23,18,24,1,1,1385,801,0,0,22,0,0,0,0,0,0,0,0,0,0
,2/16/17 9:56 AM,,0,,,0,,,,,,,,,,,,,,,,,,,,0,0
